date,shop,genre,predicted_sales,predicted_page_views
2019-09-01,10130,206440,6056,79
2019-09-02,10130,206440,5820,75
2019-09-03,10130,206440,6223,81
2019-09-04,10130,206440,6264,83
2019-09-05,10130,206440,9538,100
2019-09-06,10130,206440,6460,96
2019-09-07,10130,206440,6563,102
2019-09-08,10130,206440,6539,105
2019-09-09,10130,206440,6228,103
2019-09-10,10130,206440,9349,115
2019-09-11,10130,206440,7773,115
2019-09-12,10130,206440,7929,114
2019-09-13,10130,206440,7260,107
2019-09-14,10130,206440,7419,109
2019-09-15,10130,206440,10608,118
2019-09-16,10130,206440,6850,99
2019-09-17,10130,206440,7294,102
2019-09-18,10130,206440,7176,98
2019-09-19,10130,206440,8877,107
2019-09-20,10130,206440,9680,110
2019-09-21,10130,206440,9197,125
2019-09-22,10130,206440,9612,131
2019-09-23,10130,206440,8363,121
2019-09-24,10130,206440,9352,128
2019-09-25,10130,206440,11455,128
2019-09-26,10130,206440,8494,119
2019-09-27,10130,206440,8435,116
2019-09-28,10130,206440,8307,114
2019-09-29,10130,206440,8390,113
2019-09-30,10130,206440,10986,115
2019-09-01,10130,206471,793,44
2019-09-02,10130,206471,721,42
2019-09-03,10130,206471,731,43
2019-09-04,10130,206471,947,42
2019-09-05,10130,206471,1384,44
2019-09-06,10130,206471,953,45
2019-09-07,10130,206471,912,44
2019-09-08,10130,206471,988,38
2019-09-09,10130,206471,827,36
2019-09-10,10130,206471,1332,37
2019-09-11,10130,206471,809,37
2019-09-12,10130,206471,821,37
2019-09-13,10130,206471,732,36
2019-09-14,10130,206471,714,35
2019-09-15,10130,206471,1039,35
2019-09-16,10130,206471,794,34
2019-09-17,10130,206471,770,33
2019-09-18,10130,206471,789,32
2019-09-19,10130,206471,1011,33
2019-09-20,10130,206471,1432,32
2019-09-21,10130,206471,1314,33
2019-09-22,10130,206471,1358,31
2019-09-23,10130,206471,999,30
2019-09-24,10130,206471,1132,32
2019-09-25,10130,206471,1330,31
2019-09-26,10130,206471,862,29
2019-09-27,10130,206471,740,29
2019-09-28,10130,206471,697,28
2019-09-29,10130,206471,725,27
2019-09-30,10130,206471,970,26
2019-09-02,10130,408789,286,2
2019-09-03,10130,408789,286,2
2019-09-05,10130,408789,379,2
2019-09-06,10130,408789,254,2
2019-09-07,10130,408789,256,2
2019-09-08,10130,408789,302,2
2019-09-10,10130,408789,435,1
2019-09-12,10130,408789,256,1
2019-09-13,10130,408789,254,1
2019-09-16,10130,408789,286,1
2019-09-18,10130,408789,261,1
2019-09-19,10130,408789,263,1
2019-09-21,10130,408789,263,2
2019-09-22,10130,408789,311,2
2019-09-23,10130,408789,294,2
2019-09-25,10130,408789,389,2
2019-09-26,10130,408789,256,2
2019-09-29,10130,408789,302,2
2019-09-30,10130,408789,434,2
2019-09-01,10299,216158,21,1
2019-09-02,10299,216158,19,1
2019-09-15,10299,216158,24,1
2019-09-25,10299,216158,23,1
2019-09-01,10486,551228,69,6
2019-09-02,10486,551228,60,5
2019-09-03,10486,551228,62,6
2019-09-04,10486,551228,184,6
2019-09-05,10486,551228,253,6
2019-09-06,10486,551228,279,7
2019-09-07,10486,551228,307,7
2019-09-08,10486,551228,346,9
2019-09-09,10486,551228,302,9
2019-09-10,10486,551228,450,9
2019-09-11,10486,551228,228,8
2019-09-12,10486,551228,221,8
2019-09-13,10486,551228,137,7
2019-09-14,10486,551228,150,7
2019-09-15,10486,551228,251,7
2019-09-16,10486,551228,148,6
2019-09-17,10486,551228,153,6
2019-09-18,10486,551228,150,6
2019-09-19,10486,551228,169,6
2019-09-20,10486,551228,192,6
2019-09-21,10486,551228,175,5
2019-09-22,10486,551228,201,6
2019-09-23,10486,551228,172,6
2019-09-24,10486,551228,179,7
2019-09-25,10486,551228,216,8
2019-09-26,10486,551228,145,8
2019-09-27,10486,551228,137,8
2019-09-28,10486,551228,150,9
2019-09-29,10486,551228,447,10
2019-09-30,10486,551228,558,9
2019-09-04,1050,201632,22,1
2019-09-10,1050,201632,31,1
2019-09-15,1050,201632,33,1
2019-09-17,1050,201632,22,1
2019-09-18,1050,201632,22,1
2019-09-19,1050,201632,23,1
2019-09-20,1050,201632,28,1
2019-09-21,1050,201632,21,1
2019-09-23,1050,201632,23,1
2019-09-25,1050,201632,32,1
2019-09-29,1050,201632,23,1
2019-09-01,1050,214099,284,3
2019-09-02,1050,214099,188,3
2019-09-03,1050,214099,191,3
2019-09-04,1050,214099,167,3
2019-09-05,1050,214099,244,4
2019-09-06,1050,214099,149,4
2019-09-07,1050,214099,124,4
2019-09-08,1050,214099,140,5
2019-09-09,1050,214099,108,4
2019-09-10,1050,214099,467,5
2019-09-11,1050,214099,319,5
2019-09-12,1050,214099,295,4
2019-09-13,1050,214099,285,4
2019-09-14,1050,214099,414,5
2019-09-15,1050,214099,467,5
2019-09-16,1050,214099,359,4
2019-09-17,1050,214099,202,4
2019-09-18,1050,214099,177,3
2019-09-19,1050,214099,168,4
2019-09-20,1050,214099,259,3
2019-09-21,1050,214099,236,3
2019-09-22,1050,214099,259,3
2019-09-23,1050,214099,333,3
2019-09-24,1050,214099,339,3
2019-09-25,1050,214099,422,4
2019-09-26,1050,214099,254,3
2019-09-27,1050,214099,245,4
2019-09-28,1050,214099,321,4
2019-09-29,1050,214099,363,4
2019-09-30,1050,214099,259,4
2019-09-01,1050,402279,135,5
2019-09-02,1050,402279,131,5
2019-09-03,1050,402279,122,5
2019-09-04,1050,402279,123,5
2019-09-05,1050,402279,186,4
2019-09-06,1050,402279,110,5
2019-09-08,1050,402279,128,6
2019-09-09,1050,402279,124,5
2019-09-10,1050,402279,78,5
2019-09-11,1050,402279,51,6
2019-09-13,1050,402279,46,5
2019-09-14,1050,402279,48,5
2019-09-15,1050,402279,83,5
2019-09-16,1050,402279,51,5
2019-09-17,1050,402279,50,5
2019-09-18,1050,402279,51,5
2019-09-19,1050,402279,58,4
2019-09-20,1050,402279,25,4
2019-09-21,1050,402279,125,5
2019-09-22,1050,402279,140,5
2019-09-23,1050,402279,135,5
2019-09-24,1050,402279,132,5
2019-09-25,1050,402279,176,5
2019-09-26,1050,402279,111,5
2019-09-27,1050,402279,102,5
2019-09-28,1050,402279,140,5
2019-09-29,1050,402279,155,5
2019-09-30,1050,402279,235,5
2019-09-01,1050,506539,1227013,2332
2019-09-02,1050,506539,941820,2237
2019-09-03,1050,506539,918127,2175
2019-09-04,1050,506539,910702,2154
2019-09-05,1050,506539,1210358,3099
2019-09-06,1050,506539,1832312,4407
2019-09-07,1050,506539,2037391,4825
2019-09-08,1050,506539,2768132,5344
2019-09-09,1050,506539,2476007,5646
2019-09-10,1050,506539,2847752,6068
2019-09-11,1050,506539,3799214,7286
2019-09-12,1050,506539,3395449,6521
2019-09-13,1050,506539,2348093,5188
2019-09-14,1050,506539,2392047,4900
2019-09-15,1050,506539,2856285,4637
2019-09-16,1050,506539,2158742,4027
2019-09-17,1050,506539,2206472,3742
2019-09-18,1050,506539,1529265,2648
2019-09-19,1050,506539,1387486,2510
2019-09-20,1050,506539,1397868,2671
2019-09-21,1050,506539,1804586,3254
2019-09-22,1050,506539,2456975,3667
2019-09-23,1050,506539,2034436,3684
2019-09-24,1050,506539,2365522,4115
2019-09-25,1050,506539,2707105,4264
2019-09-26,1050,506539,2653530,4576
2019-09-27,1050,506539,2388993,4404
2019-09-28,1050,506539,2261539,4037
2019-09-29,1050,506539,2758924,4006
2019-09-30,1050,506539,2254322,3736
2019-09-01,11018,206440,12056,131
2019-09-02,11018,206440,10784,121
2019-09-03,11018,206440,11286,122
2019-09-04,11018,206440,12354,129
2019-09-05,11018,206440,18537,155
2019-09-06,11018,206440,12706,149
2019-09-07,11018,206440,13122,164
2019-09-08,11018,206440,13490,172
2019-09-09,11018,206440,12321,158
2019-09-10,11018,206440,18279,177
2019-09-11,11018,206440,13930,166
2019-09-12,11018,206440,14292,157
2019-09-13,11018,206440,13491,145
2019-09-14,11018,206440,13333,147
2019-09-15,11018,206440,20011,158
2019-09-16,11018,206440,12638,140
2019-09-17,11018,206440,13296,143
2019-09-18,11018,206440,13296,139
2019-09-19,11018,206440,16353,157
2019-09-20,11018,206440,18122,161
2019-09-21,11018,206440,16581,171
2019-09-22,11018,206440,16160,179
2019-09-23,11018,206440,15034,165
2019-09-24,11018,206440,16993,176
2019-09-25,11018,206440,20854,182
2019-09-26,11018,206440,14175,165
2019-09-27,11018,206440,14074,162
2019-09-28,11018,206440,13709,170
2019-09-29,11018,206440,14583,168
2019-09-30,11018,206440,18669,178
2019-09-01,11018,206471,248,35
2019-09-02,11018,206471,262,34
2019-09-03,11018,206471,274,34
2019-09-04,11018,206471,349,33
2019-09-05,11018,206471,652,34
2019-09-06,11018,206471,430,28
2019-09-07,11018,206471,426,27
2019-09-08,11018,206471,496,27
2019-09-09,11018,206471,411,27
2019-09-10,11018,206471,632,27
2019-09-11,11018,206471,365,27
2019-09-12,11018,206471,306,24
2019-09-13,11018,206471,292,23
2019-09-14,11018,206471,343,24
2019-09-15,11018,206471,494,25
2019-09-16,11018,206471,287,21
2019-09-17,11018,206471,296,20
2019-09-18,11018,206471,309,18
2019-09-19,11018,206471,296,19
2019-09-20,11018,206471,332,19
2019-09-21,11018,206471,348,19
2019-09-22,11018,206471,368,18
2019-09-23,11018,206471,373,18
2019-09-24,11018,206471,388,20
2019-09-25,11018,206471,471,20
2019-09-26,11018,206471,312,20
2019-09-27,11018,206471,305,18
2019-09-28,11018,206471,264,20
2019-09-29,11018,206471,277,20
2019-09-30,11018,206471,296,20
2019-09-01,11018,216158,6,2
2019-09-05,11018,216158,7,1
2019-09-06,11018,216158,6,1
2019-09-07,11018,216158,6,1
2019-09-08,11018,216158,6,1
2019-09-10,11018,216158,7,1
2019-09-13,11018,216158,6,1
2019-09-14,11018,216158,6,1
2019-09-15,11018,216158,7,1
2019-09-18,11018,216158,6,1
2019-09-20,11018,216158,7,1
2019-09-21,11018,216158,6,1
2019-09-22,11018,216158,6,1
2019-09-23,11018,216158,6,1
2019-09-25,11018,216158,7,1
2019-09-01,11246,502221,2839,0
2019-09-02,11246,502221,2519,0
2019-09-03,11246,502221,2450,0
2019-09-04,11246,502221,3261,0
2019-09-05,11246,502221,4475,0
2019-09-06,11246,502221,3003,0
2019-09-07,11246,502221,3341,0
2019-09-08,11246,502221,3446,0
2019-09-09,11246,502221,2853,0
2019-09-10,11246,502221,4061,0
2019-09-11,11246,502221,2300,0
2019-09-12,11246,502221,2174,0
2019-09-13,11246,502221,2189,0
2019-09-14,11246,502221,2435,0
2019-09-15,11246,502221,3940,0
2019-09-16,11246,502221,2101,0
2019-09-17,11246,502221,1645,0
2019-09-18,11246,502221,1687,0
2019-09-19,11246,502221,1598,0
2019-09-20,11246,502221,2189,0
2019-09-21,11246,502221,1801,0
2019-09-22,11246,502221,1929,0
2019-09-23,11246,502221,1587,0
2019-09-24,11246,502221,2434,0
2019-09-25,11246,502221,3432,0
2019-09-26,11246,502221,2103,0
2019-09-27,11246,502221,2117,0
2019-09-28,11246,502221,2355,0
2019-09-29,11246,502221,2394,0
2019-09-30,11246,502221,4395,0
2019-09-01,11246,558846,133,0
2019-09-02,11246,558846,120,0
2019-09-03,11246,558846,119,0
2019-09-04,11246,558846,124,0
2019-09-05,11246,558846,164,0
2019-09-06,11246,558846,118,0
2019-09-07,11246,558846,124,0
2019-09-08,11246,558846,133,0
2019-09-09,11246,558846,111,0
2019-09-10,11246,558846,151,0
2019-09-11,11246,558846,115,0
2019-09-12,11246,558846,112,0
2019-09-13,11246,558846,110,0
2019-09-14,11246,558846,115,0
2019-09-15,11246,558846,172,0
2019-09-16,11246,558846,39,0
2019-09-17,11246,558846,39,0
2019-09-18,11246,558846,41,0
2019-09-19,11246,558846,43,0
2019-09-20,11246,558846,53,0
2019-09-21,11246,558846,45,0
2019-09-22,11246,558846,48,0
2019-09-23,11246,558846,43,0
2019-09-24,11246,558846,43,0
2019-09-25,11246,558846,56,0
2019-09-26,11246,558846,40,0
2019-09-27,11246,558846,28,0
2019-09-28,11246,558846,29,0
2019-09-29,11246,558846,31,0
2019-09-30,11246,558846,38,0
2019-09-01,11246,558873,61,0
2019-09-02,11246,558873,55,0
2019-09-03,11246,558873,54,0
2019-09-04,11246,558873,55,0
2019-09-05,11246,558873,71,0
2019-09-06,11246,558873,1073,0
2019-09-07,11246,558873,1139,0
2019-09-08,11246,558873,1230,0
2019-09-09,11246,558873,1098,0
2019-09-10,11246,558873,1486,0
2019-09-11,11246,558873,1111,0
2019-09-12,11246,558873,1060,0
2019-09-13,11246,558873,109,0
2019-09-14,11246,558873,116,0
2019-09-15,11246,558873,176,0
2019-09-16,11246,558873,114,0
2019-09-17,11246,558873,1176,0
2019-09-18,11246,558873,1194,0
2019-09-19,11246,558873,1138,0
2019-09-20,11246,558873,1516,0
2019-09-21,11246,558873,1200,0
2019-09-22,11246,558873,1308,0
2019-09-23,11246,558873,1180,0
2019-09-24,11246,558873,195,0
2019-09-25,11246,558873,269,0
2019-09-26,11246,558873,188,0
2019-09-27,11246,558873,187,0
2019-09-28,11246,558873,199,0
2019-09-29,11246,558873,217,0
2019-09-30,11246,558873,265,0
2019-09-01,11246,560271,303,0
2019-09-02,11246,560271,273,0
2019-09-03,11246,560271,254,0
2019-09-04,11246,560271,255,0
2019-09-05,11246,560271,335,0
2019-09-06,11246,560271,230,0
2019-09-07,11246,560271,256,0
2019-09-08,11246,560271,303,0
2019-09-09,11246,560271,273,0
2019-09-10,11246,560271,335,0
2019-09-11,11246,560271,255,0
2019-09-12,11246,560271,242,0
2019-09-13,11246,560271,230,0
2019-09-14,11246,560271,256,0
2019-09-15,11246,560271,335,0
2019-09-16,11246,560271,273,0
2019-09-17,11246,560271,254,0
2019-09-18,11246,560271,255,0
2019-09-19,11246,560271,279,0
2019-09-20,11246,560271,335,0
2019-09-21,11246,560271,297,0
2019-09-22,11246,560271,223,0
2019-09-23,11246,560271,212,0
2019-09-24,11246,560271,196,0
2019-09-25,11246,560271,223,0
2019-09-26,11246,560271,161,0
2019-09-27,11246,560271,154,0
2019-09-28,11246,560271,171,0
2019-09-29,11246,560271,202,0
2019-09-30,11246,560271,223,0
2019-09-01,11503,206440,63730,2371
2019-09-02,11503,206440,56117,2182
2019-09-03,11503,206440,57178,2200
2019-09-04,11503,206440,57514,2216
2019-09-05,11503,206440,93001,2827
2019-09-06,11503,206440,63124,2813
2019-09-07,11503,206440,67234,3176
2019-09-08,11503,206440,71440,3463
2019-09-09,11503,206440,69121,3524
2019-09-10,11503,206440,106788,4144
2019-09-11,11503,206440,89094,4238
2019-09-12,11503,206440,86554,4041
2019-09-13,11503,206440,78567,3646
2019-09-14,11503,206440,75720,3504
2019-09-15,11503,206440,107180,3553
2019-09-16,11503,206440,64837,2720
2019-09-17,11503,206440,66450,2595
2019-09-18,11503,206440,62959,2230
2019-09-19,11503,206440,76655,2314
2019-09-20,11503,206440,83943,2420
2019-09-21,11503,206440,75024,2598
2019-09-22,11503,206440,77110,2684
2019-09-23,11503,206440,69157,2524
2019-09-24,11503,206440,74456,2661
2019-09-25,11503,206440,91461,2714
2019-09-26,11503,206440,64452,2450
2019-09-27,11503,206440,60502,2241
2019-09-28,11503,206440,59720,2176
2019-09-29,11503,206440,59964,2101
2019-09-30,11503,206440,76962,2059
2019-09-01,11503,206471,76827,3116
2019-09-02,11503,206471,62739,3001
2019-09-03,11503,206471,64344,3058
2019-09-04,11503,206471,63565,3173
2019-09-05,11503,206471,122302,3697
2019-09-06,11503,206471,89225,4072
2019-09-07,11503,206471,94478,4494
2019-09-08,11503,206471,104048,4837
2019-09-09,11503,206471,100269,5017
2019-09-10,11503,206471,157578,5312
2019-09-11,11503,206471,133629,5625
2019-09-12,11503,206471,123440,5291
2019-09-13,11503,206471,113364,4865
2019-09-14,11503,206471,112629,4674
2019-09-15,11503,206471,173582,4489
2019-09-16,11503,206471,98818,4028
2019-09-17,11503,206471,101540,3938
2019-09-18,11503,206471,93197,3603
2019-09-19,11503,206471,115763,3640
2019-09-20,11503,206471,137298,3800
2019-09-21,11503,206471,131440,4098
2019-09-22,11503,206471,144368,4319
2019-09-23,11503,206471,126592,4292
2019-09-24,11503,206471,141793,4495
2019-09-25,11503,206471,174779,4514
2019-09-26,11503,206471,119006,4467
2019-09-27,11503,206471,112859,4315
2019-09-28,11503,206471,109848,4160
2019-09-29,11503,206471,110580,3970
2019-09-30,11503,206471,139175,3693
2019-09-05,11503,551180,4199,94
2019-09-06,11503,551180,2861,47
2019-09-07,11503,551180,719,49
2019-09-08,11503,551180,525,54
2019-09-09,11503,551180,710,59
2019-09-10,11503,551180,782,59
2019-09-11,11503,551180,706,57
2019-09-12,11503,551180,587,60
2019-09-13,11503,551180,539,61
2019-09-14,11503,551180,432,63
2019-09-15,11503,551180,657,72
2019-09-16,11503,551180,258,61
2019-09-17,11503,551180,244,59
2019-09-18,11503,551180,98,56
2019-09-19,11503,551180,103,54
2019-09-20,11503,551180,109,53
2019-09-21,11503,551180,345,55
2019-09-22,11503,551180,372,51
2019-09-23,11503,551180,519,48
2019-09-24,11503,551180,735,49
2019-09-25,11503,551180,891,48
2019-09-26,11503,551180,803,43
2019-09-27,11503,551180,759,40
2019-09-28,11503,551180,649,38
2019-09-29,11503,551180,704,37
2019-09-30,11503,551180,688,35
2019-09-01,11503,558846,26,6
2019-09-02,11503,558846,24,5
2019-09-03,11503,558846,24,5
2019-09-04,11503,558846,24,6
2019-09-05,11503,558846,32,6
2019-09-06,11503,558846,23,9
2019-09-07,11503,558846,24,12
2019-09-08,11503,558846,24,15
2019-09-09,11503,558846,22,19
2019-09-10,11503,558846,29,21
2019-09-11,11503,558846,22,23
2019-09-12,11503,558846,22,24
2019-09-13,11503,558846,21,23
2019-09-14,11503,558846,22,22
2019-09-15,11503,558846,33,24
2019-09-16,11503,558846,22,18
2019-09-17,11503,558846,9,17
2019-09-18,11503,558846,9,15
2019-09-19,11503,558846,10,15
2019-09-20,11503,558846,12,16
2019-09-21,11503,558846,8,16
2019-09-22,11503,558846,9,16
2019-09-23,11503,558846,8,13
2019-09-24,11503,558846,8,13
2019-09-25,11503,558846,10,12
2019-09-26,11503,558846,7,10
2019-09-27,11503,558846,7,9
2019-09-28,11503,558846,7,8
2019-09-29,11503,558846,8,8
2019-09-30,11503,558846,9,8
2019-09-09,11503,558873,0,7
2019-09-10,11503,558873,0,16
2019-09-11,11503,558873,0,42
2019-09-12,11503,558873,0,38
2019-09-13,11503,558873,0,34
2019-09-14,11503,558873,0,33
2019-09-15,11503,558873,0,32
2019-09-16,11503,558873,0,29
2019-09-17,11503,558873,0,28
2019-09-18,11503,558873,0,23
2019-09-19,11503,558873,0,20
2019-09-20,11503,558873,0,19
2019-09-21,11503,558873,0,19
2019-09-22,11503,558873,0,17
2019-09-23,11503,558873,0,16
2019-09-24,11503,558873,0,15
2019-09-25,11503,558873,0,16
2019-09-26,11503,558873,0,19
2019-09-27,11503,558873,0,20
2019-09-28,11503,558873,0,19
2019-09-29,11503,558873,0,20
2019-09-30,11503,558873,0,20
2019-09-01,12356,110435,8105,93
2019-09-02,12356,110435,7166,92
2019-09-03,12356,110435,7889,95
2019-09-04,12356,110435,6691,100
2019-09-05,12356,110435,9642,110
2019-09-06,12356,110435,11003,112
2019-09-07,12356,110435,13225,117
2019-09-08,12356,110435,16438,119
2019-09-09,12356,110435,12998,120
2019-09-10,12356,110435,20186,121
2019-09-11,12356,110435,13329,118
2019-09-12,12356,110435,11674,114
2019-09-13,12356,110435,8115,104
2019-09-14,12356,110435,7573,104
2019-09-15,12356,110435,15422,113
2019-09-16,12356,110435,8515,110
2019-09-17,12356,110435,10389,119
2019-09-18,12356,110435,6705,124
2019-09-19,12356,110435,7659,137
2019-09-20,12356,110435,11685,150
2019-09-21,12356,110435,9344,147
2019-09-22,12356,110435,9789,145
2019-09-23,12356,110435,8962,135
2019-09-24,12356,110435,9339,126
2019-09-25,12356,110435,13318,121
2019-09-26,12356,110435,8754,103
2019-09-27,12356,110435,7734,96
2019-09-28,12356,110435,8702,91
2019-09-29,12356,110435,12010,93
2019-09-30,12356,110435,20086,95
2019-09-01,12805,100487,15,2
2019-09-02,12805,100487,13,2
2019-09-03,12805,100487,13,2
2019-09-04,12805,100487,14,2
2019-09-05,12805,100487,21,1
2019-09-07,12805,100487,15,1
2019-09-08,12805,100487,15,1
2019-09-09,12805,100487,13,1
2019-09-10,12805,100487,19,2
2019-09-18,12805,100487,14,2
2019-09-19,12805,100487,15,2
2019-09-21,12805,100487,17,2
2019-09-23,12805,100487,15,2
2019-09-25,12805,100487,21,1
2019-09-26,12805,100487,14,1
2019-09-27,12805,100487,14,1
2019-09-01,12805,205582,111,3
2019-09-02,12805,205582,84,3
2019-09-03,12805,205582,83,2
2019-09-04,12805,205582,82,2
2019-09-05,12805,205582,130,2
2019-09-06,12805,205582,45,2
2019-09-07,12805,205582,52,2
2019-09-08,12805,205582,56,2
2019-09-09,12805,205582,42,2
2019-09-11,12805,205582,41,2
2019-09-12,12805,205582,45,2
2019-09-13,12805,205582,45,2
2019-09-14,12805,205582,52,2
2019-09-15,12805,205582,65,2
2019-09-17,12805,205582,42,2
2019-09-18,12805,205582,41,2
2019-09-19,12805,205582,45,2
2019-09-20,12805,205582,65,2
2019-09-21,12805,205582,52,2
2019-09-23,12805,205582,42,2
2019-09-24,12805,205582,42,2
2019-09-26,12805,205582,45,2
2019-09-27,12805,205582,45,2
2019-09-28,12805,205582,52,3
2019-09-29,12805,205582,56,3
2019-09-01,12805,206440,1325,21
2019-09-02,12805,206440,1215,19
2019-09-03,12805,206440,1370,18
2019-09-04,12805,206440,1443,18
2019-09-05,12805,206440,2122,21
2019-09-06,12805,206440,1384,19
2019-09-07,12805,206440,1395,19
2019-09-08,12805,206440,1207,19
2019-09-09,12805,206440,1181,19
2019-09-10,12805,206440,1264,22
2019-09-11,12805,206440,1014,20
2019-09-12,12805,206440,1025,21
2019-09-13,12805,206440,1076,21
2019-09-14,12805,206440,1190,21
2019-09-15,12805,206440,1673,23
2019-09-16,12805,206440,954,18
2019-09-17,12805,206440,980,18
2019-09-18,12805,206440,937,19
2019-09-19,12805,206440,1163,21
2019-09-20,12805,206440,1472,20
2019-09-21,12805,206440,1197,23
2019-09-22,12805,206440,1275,23
2019-09-23,12805,206440,1122,23
2019-09-24,12805,206440,1274,23
2019-09-25,12805,206440,1578,22
2019-09-26,12805,206440,1211,19
2019-09-27,12805,206440,1016,19
2019-09-28,12805,206440,1024,19
2019-09-29,12805,206440,2756,21
2019-09-30,12805,206440,3558,20
2019-09-03,12805,408789,11,2
2019-09-06,12805,408789,10,2
2019-09-15,12805,408789,18,2
2019-09-25,12805,408789,15,2
2019-09-26,12805,408789,10,1
2019-09-01,12805,560271,7,2
2019-09-02,12805,560271,6,2
2019-09-03,12805,560271,6,2
2019-09-04,12805,560271,6,2
2019-09-05,12805,560271,8,3
2019-09-06,12805,560271,5,3
2019-09-07,12805,560271,6,3
2019-09-08,12805,560271,7,3
2019-09-09,12805,560271,6,3
2019-09-10,12805,560271,8,3
2019-09-11,12805,560271,6,3
2019-09-12,12805,560271,19,2
2019-09-13,12805,560271,18,2
2019-09-14,12805,560271,21,2
2019-09-15,12805,560271,27,3
2019-09-16,12805,560271,22,3
2019-09-17,12805,560271,20,3
2019-09-18,12805,560271,53,3
2019-09-19,12805,560271,44,3
2019-09-20,12805,560271,53,3
2019-09-21,12805,560271,47,3
2019-09-23,12805,560271,50,3
2019-09-24,12805,560271,46,3
2019-09-25,12805,560271,53,3
2019-09-26,12805,560271,18,2
2019-09-27,12805,560271,17,2
2019-09-29,12805,560271,23,3
2019-09-30,12805,560271,25,2
2019-09-27,12819,207288,14,1
2019-09-01,12819,502221,27507,556
2019-09-02,12819,502221,20952,324
2019-09-03,12819,502221,18452,210
2019-09-04,12819,502221,17293,176
2019-09-05,12819,502221,22928,171
2019-09-06,12819,502221,16507,154
2019-09-07,12819,502221,18102,163
2019-09-08,12819,502221,19597,157
2019-09-09,12819,502221,17181,138
2019-09-10,12819,502221,23841,144
2019-09-11,12819,502221,16701,131
2019-09-12,12819,502221,15790,121
2019-09-13,12819,502221,14904,111
2019-09-14,12819,502221,16420,122
2019-09-15,12819,502221,25533,137
2019-09-16,12819,502221,15669,111
2019-09-17,12819,502221,15480,110
2019-09-18,12819,502221,15563,105
2019-09-19,12819,502221,16385,106
2019-09-20,12819,502221,22440,110
2019-09-21,12819,502221,18829,120
2019-09-22,12819,502221,20481,123
2019-09-23,12819,502221,16134,97
2019-09-24,12819,502221,13542,84
2019-09-25,12819,502221,16794,84
2019-09-26,12819,502221,10115,75
2019-09-27,12819,502221,10008,72
2019-09-28,12819,502221,11161,81
2019-09-29,12819,502221,12001,85
2019-09-30,12819,502221,16081,86
2019-09-01,13261,558873,12948,3
2019-09-02,13261,558873,11677,3
2019-09-03,13261,558873,11638,4
2019-09-04,13261,558873,11816,4
2019-09-05,13261,558873,15156,5
2019-09-06,13261,558873,11183,6
2019-09-07,13261,558873,11875,5
2019-09-08,13261,558873,12948,5
2019-09-09,13261,558873,11677,5
2019-09-10,13261,558873,15794,5
2019-09-11,13261,558873,11816,5
2019-09-13,13261,558873,11183,4
2019-09-14,13261,558873,11875,4
2019-09-15,13261,558873,18046,4
2019-09-16,13261,558873,11677,4
2019-09-17,13261,558873,11638,3
2019-09-18,13261,558873,11816,3
2019-09-19,13261,558873,11267,4
2019-09-20,13261,558873,15011,4
2019-09-21,13261,558873,1010,5
2019-09-22,13261,558873,1102,5
2019-09-23,13261,558873,994,5
2019-09-24,13261,558873,990,5
2019-09-25,13261,558873,1370,5
2019-09-26,13261,558873,959,4
2019-09-27,13261,558873,951,5
2019-09-28,13261,558873,77,4
2019-09-29,13261,558873,84,4
2019-09-30,13261,558873,103,4
2019-09-02,13374,507843,147,3
2019-09-03,13374,507843,151,3
2019-09-04,13374,507843,156,3
2019-09-05,13374,507843,94,3
2019-09-06,13374,507843,56,3
2019-09-07,13374,507843,58,3
2019-09-08,13374,507843,63,3
2019-09-09,13374,507843,59,2
2019-09-10,13374,507843,94,3
2019-09-12,13374,507843,131,2
2019-09-14,13374,507843,127,2
2019-09-15,13374,507843,204,2
2019-09-17,13374,507843,132,2
2019-09-18,13374,507843,136,2
2019-09-20,13374,507843,186,2
2019-09-23,13374,507843,146,2
2019-09-25,13374,507843,134,2
2019-09-26,13374,507843,86,2
2019-09-27,13374,507843,80,2
2019-09-29,13374,507843,90,2
2019-09-30,13374,507843,129,2
2019-09-01,14293,201184,355,28
2019-09-02,14293,201184,314,28
2019-09-03,14293,201184,154,30
2019-09-04,14293,201184,130,30
2019-09-05,14293,201184,1954,36
2019-09-06,14293,201184,1281,33
2019-09-07,14293,201184,1500,35
2019-09-08,14293,201184,1663,38
2019-09-09,14293,201184,1470,37
2019-09-10,14293,201184,1954,43
2019-09-11,14293,201184,1382,40
2019-09-12,14293,201184,321,39
2019-09-13,14293,201184,298,38
2019-09-14,14293,201184,349,42
2019-09-15,14293,201184,455,48
2019-09-16,14293,201184,342,41
2019-09-17,14293,201184,381,39
2019-09-18,14293,201184,322,34
2019-09-19,14293,201184,332,30
2019-09-20,14293,201184,452,29
2019-09-21,14293,201184,361,26
2019-09-22,14293,201184,402,27
2019-09-23,14293,201184,1185,24
2019-09-24,14293,201184,1292,23
2019-09-25,14293,201184,1482,26
2019-09-26,14293,201184,1047,22
2019-09-27,14293,201184,972,21
2019-09-28,14293,201184,1138,23
2019-09-29,14293,201184,1261,24
2019-09-30,14293,201184,443,25
2019-09-01,14293,205611,1668,8
2019-09-02,14293,205611,1615,9
2019-09-03,14293,205611,1576,9
2019-09-04,14293,205611,1599,10
2019-09-05,14293,205611,2070,11
